Date;PO;TPS;TVQ;Total_Des_Departements;Rabais
2023-02-17;;13.02;24.45;260.23;
2023-02-18;;62.31;112.04;1331.70;
2023-02-19;;30.50;60.82;609.60;
2023-02-20;;;;;
2023-02-21;;14.63;28.12;292.45;
2023-02-22;;13.61;17.73;272.25;
2023-02-23;;40.99;55.34;819.88;
2023-02-24;;12.25;18.54;244.90;
2023-02-25;;17.18;28.81;343.45;
2023-02-26;;27.90;47.02;572.80;
2023-02-27;;;;;
2023-02-28;;8.06;12.22;161.25;
2023-03-01;;10.21;19.16;203.90;
2023-03-02;;3.80;7.58;76.00;
2023-03-03;;20.71;35.82;414.14;
2023-03-04;;14.83;26.19;296.39;
2023-03-05;;43.72;77.11;874.38;
2023-03-06;;;;;
2023-03-07;;23.67;37.93;473.25;
2023-03-08;;19.86;39.62;397.25;
2023-03-09;;13.16;15.06;263.05;
2023-03-10;;23.15;42.18;462.80;
2023-03-11;;21.18;36.27;423.40;
2023-03-12;;27.29;48.76;569.50;
2023-03-13;;;;;
2023-03-14;;;;290.45;
2023-03-15;;27.57;52.06;551.10;
2023-03-16;;33.85;65.52;676.95;
2023-03-17;;30.58;53.65;611.82;
2023-03-18;;8.35;14.28;216.83;
2023-03-19;;46.37;80.78;871.85;
2023-03-20;;;;;
2023-03-21;;11.50;22.91;229.79;
2023-03-22;;31.32;56.98;770.20;
2023-03-23;;46.64;72.34;1069.76;
2023-03-24;;34.31;51.83;686.05;
2023-03-25;;25.50;50.28;521.03;
2023-03-26;;42.58;76.37;998.20;
2023-03-27;;;;;
2023-03-28;;7.55;15.02;150.50;
2023-03-29;;8.01;14.26;159.90;
2023-03-30;;12.87;13.49;257.20;
2023-03-31;;5.23;10.41;197.45;
2023-04-01;;36.07;70.35;721.20;
2023-04-02;;42.55;67.53;962.95;
2023-04-03;;;;;
2023-04-04;;62.58;123.98;1250.87;
2023-04-05;;13.78;27.49;275.50;
2023-04-06;;14.87;27.27;297.25;
2023-04-07;;30.77;41.10;615.10;
2023-04-08;;33.85;52.09;748.27;
2023-04-09;;;;;
2023-04-10;;;;;
2023-04-11;;36.20;66.54;723.95;
2023-04-12;;27.16;54.19;543.17;
2023-04-13;;20.04;35.61;400.85;
2023-04-14;;11.49;20.42;229.80;
2023-04-15;;21.88;43.38;437.55;
2023-04-16;;58.11;99.06;1053.60;
2023-04-17;;;;;
2023-04-18;;25.55;50.97;511.00;
2023-04-19;;11.09;22.12;221.75;
2023-04-20;;9.15;18.26;183.00;
2023-04-21;;21.64;43.15;432.50;
2023-04-22;;35.00;69.12;699.70;
